employment_matrix,education_needed
"  Special education teachers, all other[2]",Bachelor's degree
"  Adult basic education, adult secondary education, and english as a second language instructors",Bachelor's degree
  Self-enrichment teachers,High school diploma or equivalent
"  Substitute teachers, short-term[2]",Bachelor's degree
  Tutors,"Some college, no degree"
"  Teachers and instructors, all other[2]",Bachelor's degree
  Archivists,Master's degree
  Curators,Master's degree
  Museum technicians and conservators,Bachelor's degree
  Librarians and media collections specialists,Master's degree
  Library technicians,Postsecondary nondegree award
  Farm and home management educators,Master's degree
  Instructional coordinators,Master's degree
"  Teaching assistants, postsecondary",Bachelor's degree
"  Teaching assistants, except postsecondary[2]","Some college, no degree"
"  Educational instruction and library workers, all other[2]",Bachelor's degree
  Art directors,Bachelor's degree
  Craft artists,No formal educational credential
"  Fine artists, including painters, sculptors, and illustrators",Bachelor's degree
  Special effects artists and animators,Bachelor's degree
"  Artists and related workers, all other[2]",No formal educational credential
  Commercial and industrial designers,Bachelor's degree
  Fashion designers,Bachelor's degree
  Floral designers,High school diploma or equivalent
  Graphic designers,Bachelor's degree
  Interior designers,Bachelor's degree
  Merchandise displayers and window trimmers,High school diploma or equivalent
  Set and exhibit designers,Bachelor's degree
"  Designers, all other[2]",Bachelor's degree
  Actors,"Some college, no degree"
  Producers and directors,Bachelor's degree
  Athletes and sports competitors,No formal educational credential
  Coaches and scouts,Bachelor's degree
"  Umpires, referees, and other sports officials",High school diploma or equivalent
  Dancers,No formal educational credential
  Choreographers,High school diploma or equivalent
  Music directors and composers,Bachelor's degree
  Musicians and singers,No formal educational credential
"  Disc jockeys, except radio[2]",High school diploma or equivalent
"  Entertainers and performers, sports and related workers, all other[2]",No formal educational credential
  Broadcast announcers and radio disc jockeys,Bachelor's degree
"  News analysts, reporters, and journalists",Bachelor's degree
  Public relations specialists,Bachelor's degree
  Editors,Bachelor's degree
  Technical writers,Bachelor's degree
  Writers and authors,Bachelor's degree
  Interpreters and translators,Bachelor's degree
  Court reporters and simultaneous captioners,Postsecondary nondegree award
"  Media and communication workers, all other[2]",High school diploma or equivalent
  Audio and video technicians,Postsecondary nondegree award
  Broadcast technicians,Associate's degree
  Sound engineering technicians,Postsecondary nondegree award
  Lighting technicians[2],Postsecondary nondegree award
  Photographers,High school diploma or equivalent
"  Camera operators, television, video, and film",Bachelor's degree
  Film and video editors,Bachelor's degree
"  Media and communication equipment workers, all other[2]",High school diploma or equivalent
  Chiropractors,Doctoral or professional degree
"  Dentists, general",Doctoral or professional degree
  Oral and maxillofacial surgeons,Doctoral or professional degree
  Orthodontists,Doctoral or professional degree
  Prosthodontists,Doctoral or professional degree
"  Dentists, all other specialists[2]",Doctoral or professional degree
  Dietitians and nutritionists,Bachelor's degree
  Optometrists,Doctoral or professional degree
  Pharmacists,Doctoral or professional degree
  Physician assistants,Master's degree
  Podiatrists,Doctoral or professional degree
  Occupational therapists,Master's degree
  Physical therapists,Doctoral or professional degree
  Radiation therapists,Associate's degree
  Recreational therapists,Bachelor's degree
  Respiratory therapists,Associate's degree
  Speech-language pathologists,Master's degree
  Exercise physiologists,Bachelor's degree
"  Therapists, all other[2]",Bachelor's degree
  Veterinarians,Doctoral or professional degree
  Registered nurses,Bachelor's degree
  Nurse anesthetists,Master's degree
  Nurse midwives,Master's degree
  Nurse practitioners,Master's degree
  Audiologists,Doctoral or professional degree
